income,credit_score,loan_amount,loan_term,employment_years,digital_activity_score,transaction_consistency,default,transaction_count,unusual_transaction_ratio,account_age_days,login_frequency,fraud
63362.35,433,65525.77,146,4.8,0.4418,0.7057,0,58,0.0752,3618,21.04,1
24683.66,678,60338.41,87,12.9,0.0418,0.3647,0,21,0.8989,861,20.78,1
65978.22,716,97514.52,91,27.8,0.2367,0.1625,0,91,0.8814,102,6.2,0
121710.24,721,81212.34,139,8.0,0.7874,0.1081,0,241,0.2224,3345,27.64,1
126669.73,533,26177.74,349,5.8,0.3283,0.8644,0,143,0.3511,2087,12.59,0
89708.05,328,15957.47,145,5.4,0.9625,0.2655,1,223,0.3457,3222,10.1,0
86485.0,694,90452.95,109,7.6,0.7088,0.0017,0,276,0.6869,3040,22.37,1
76068.66,638,64199.76,351,25.4,0.7198,0.3003,0,210,0.3262,2856,9.57,1
74658.02,688,69345.2,101,18.5,0.3009,0.5479,1,147,0.2102,3219,17.82,0
80448.46,752,69184.59,273,14.2,0.9012,0.796,0,44,0.2838,2720,19.36,1
126395.05,540,68915.59,127,24.2,0.1474,0.0462,0,38,0.4554,3630,19.26,1
110526.05,806,42967.02,87,19.7,0.0055,0.751,0,55,0.7784,897,6.1,0
87334.51,351,57953.55,74,13.7,0.8014,0.6676,0,163,0.95,1813,18.77,1
85621.16,756,90234.77,255,13.5,0.7518,0.8399,0,267,0.4846,980,8.96,1
57144.66,578,36905.52,288,2.4,0.1508,0.383,1,110,0.0642,1670,10.6,0
28094.54,730,42000.3,311,28.4,0.0195,0.8807,0,245,0.0059,1441,9.66,0
135913.4,729,56130.95,291,24.0,0.8978,0.4882,0,249,0.029,1377,20.4,0
114143.58,778,92356.45,330,16.0,0.9069,0.5919,0,43,0.6427,556,26.14,1
53820.32,635,25107.73,179,10.1,0.8796,0.2783,0,216,0.2523,336,14.64,0
26771.13,658,26301.11,47,23.4,0.6518,0.7542,0,103,0.8392,2545,5.42,1
107029.65,523,49178.23,143,23.0,0.1678,0.6072,0,59,0.7778,671,28.98,1
23338.2,619,59700.69,204,11.9,0.715,0.076,0,125,0.1019,3165,9.75,0
124718.64,342,37984.36,231,19.8,0.069,0.6475,1,216,0.8223,433,13.57,1
135904.75,770,72194.32,234,5.3,0.5217,0.6505,0,276,0.7746,1905,13.63,0
54891.42,551,83919.45,56,8.4,0.4508,0.7505,0,195,0.3364,2025,25.68,1
47575.58,564,37332.19,317,21.0,0.2763,0.0102,0,44,0.2414,1665,15.17,0
109779.21,802,47576.58,20,2.8,0.2216,0.6918,0,298,0.369,2268,16.4,1
116971.61,638,38422.0,244,8.1,0.2514,0.1207,0,62,0.7429,3122,21.01,1
116018.6,583,73835.58,280,17.9,0.9805,0.8326,0,185,0.1794,58,21.53,1
25917.04,355,57569.1,76,19.1,0.7528,0.1026,1,146,0.4694,1805,10.88,0
52822.19,789,15838.28,45,12.0,0.0741,0.6294,1,77,0.8111,1245,3.47,1
92549.49,726,62600.18,328,6.8,0.5226,0.4505,0,220,0.3054,2544,2.75,0
32900.36,512,64423.93,147,19.8,0.1571,0.1738,1,2,0.4085,2824,18.22,1
50091.91,589,71783.82,244,2.1,0.2334,0.2646,0,102,0.4251,2231,7.52,1
54532.22,445,11783.93,96,23.8,0.595,0.8242,0,225,0.1244,2821,9.82,0
55392.01,805,46587.09,318,1.2,0.432,0.3223,0,47,0.2289,2762,25.24,0
143602.22,575,59743.46,101,14.1,0.6515,0.9161,0,300,0.4359,3336,15.26,1
65234.94,641,35500.53,65,25.7,0.3298,0.6937,0,206,0.8136,2254,2.06,1
52811.85,418,97167.55,218,25.9,0.8249,0.0012,0,237,0.4132,769,16.03,0
84804.1,752,77199.1,116,8.0,0.131,0.288,0,249,0.1214,2581,18.66,1
40589.16,314,57463.88,59,6.7,0.8414,0.1135,0,79,0.4984,2936,9.46,0
74013.74,794,98123.24,136,13.7,0.1446,0.1906,0,70,0.864,1132,23.41,0
64183.78,819,30381.4,13,8.5,0.2986,0.5869,0,251,0.8653,1830,16.62,1
91749.26,686,48257.74,176,26.1,0.9808,0.2388,0,211,0.0436,3051,14.72,0
69560.05,455,52056.22,30,3.8,0.9654,0.332,1,226,0.0997,1872,1.45,1
133221.29,458,12108.68,147,10.2,0.6927,0.6498,0,274,0.38,1298,19.18,0
83433.17,336,63658.65,132,18.9,0.9209,0.9974,0,223,0.9783,3115,19.38,0
77678.21,606,90825.29,35,9.7,0.0561,0.3585,0,126,0.5312,2319,20.77,1
42759.02,691,63872.49,135,14.9,0.5832,0.2322,0,236,0.2553,39,27.07,0
57392.12,461,12016.88,188,29.6,0.2992,0.962,0,234,0.8453,816,29.98,0
33864.92,690,59332.66,306,8.9,0.6993,0.0219,0,203,0.2745,2319,26.09,0
146568.37,808,84119.7,158,23.3,0.2301,0.8019,0,98,0.6209,2777,22.91,0
108511.16,440,64683.57,333,19.4,0.3089,0.4408,0,68,0.0901,1209,10.47,0
46103.32,674,55430.98,151,24.9,0.257,0.8247,0,152,0.7466,1388,24.32,1
29788.92,531,86713.36,357,29.4,0.9673,0.8046,0,203,0.0139,2198,4.58,0
117371.51,568,60533.21,338,28.2,0.1083,0.2338,1,288,0.328,2499,7.42,1
127101.2,609,66677.75,71,4.2,0.9463,0.3044,0,50,0.2348,2202,4.93,0
107163.21,729,60797.33,91,26.6,0.6549,0.8337,0,144,0.0327,1518,7.3,0
50694.64,671,14438.69,200,16.3,0.9778,0.3587,0,98,0.9682,3474,24.9,1
47573.76,321,9804.96,182,7.3,0.1259,0.5646,1,284,0.2072,885,24.58,1
120667.92,302,31341.11,86,29.6,0.5402,0.7985,1,14,0.1318,1468,23.91,1
62090.29,478,30209.91,76,22.3,0.5261,0.7457,0,186,0.5132,447,14.11,1
99963.89,833,33654.88,341,28.9,0.0608,0.479,0,56,0.4903,1817,3.13,1
99078.67,367,16988.2,331,19.0,0.5484,0.3252,0,272,0.2949,2071,18.56,1
111231.32,520,45856.64,128,12.4,0.8274,0.3987,0,161,0.4268,2725,8.39,0
109286.73,785,11377.66,55,2.8,0.0966,0.7388,0,285,0.06,2301,17.29,0
73405.12,733,87468.75,38,29.1,0.6004,0.3516,0,109,0.1547,1976,7.5,1
129898.54,676,15914.1,154,17.2,0.8072,0.8452,0,286,0.0263,2695,25.05,1
43454.09,616,92546.06,191,0.2,0.8699,0.5663,0,73,0.741,126,3.66,1
68905.27,764,37385.12,201,9.3,0.3244,0.9414,0,27,0.1556,3091,18.92,0
55373.37,734,51137.86,238,12.4,0.2156,0.5123,0,57,0.2832,2780,18.2,0
60094.52,525,42550.02,318,1.6,0.2044,0.9453,0,131,0.2894,492,1.22,0
42840.32,689,55595.32,129,15.0,0.8334,0.8062,1,22,0.4362,1884,27.71,0
94848.69,714,72402.4,225,8.7,0.405,0.9662,0,236,0.832,1483,3.56,0
51631.14,710,54776.44,214,26.1,0.7458,0.2216,0,40,0.5105,468,16.39,1
120909.67,659,74101.02,342,24.5,0.2363,0.1464,0,79,0.7602,2685,3.19,0
101633.34,775,76672.35,308,13.5,0.9242,0.5645,0,166,0.8642,2570,10.17,1
80959.74,610,80651.32,314,1.7,0.5073,0.3104,0,30,0.3687,1176,3.23,0
131188.14,819,41525.84,309,16.6,0.7918,0.8959,0,293,0.6518,1317,18.55,1
144503.91,761,14832.68,187,29.5,0.0843,0.6461,1,225,0.991,2147,16.16,1
68470.76,589,41804.57,185,20.4,0.0524,0.6309,0,169,0.0945,2779,12.21,0
130703.61,453,36669.39,310,19.9,0.9167,0.3102,0,201,0.129,2904,28.2,1
68968.31,636,82252.55,355,21.1,0.9471,0.9972,0,48,0.646,1735,15.75,1
60152.59,519,37464.57,260,5.8,1.0,0.1549,1,52,0.5077,2211,25.22,0
24907.17,644,88257.31,328,3.9,0.3767,0.1622,0,85,0.7212,179,12.91,0
50878.93,754,63006.57,241,7.0,0.2392,0.9656,0,100,0.3678,2337,29.55,1
56630.33,691,52776.14,226,29.0,0.8169,0.8013,1,129,0.0522,1969,26.35,0
33336.67,828,85860.77,157,2.5,0.1603,0.4493,0,224,0.0917,910,24.68,0
140961.35,724,10059.4,269,11.2,0.3862,0.0816,0,164,0.9308,3438,21.73,1
38986.41,339,32253.54,253,20.9,0.1388,0.7055,1,3,0.9059,78,8.42,0
91344.55,840,45209.2,159,7.1,0.1218,0.2384,0,235,0.0628,3428,27.25,0
22136.6,827,59629.51,85,8.7,0.0016,0.3528,0,96,0.6644,351,16.18,1
143942.48,819,79709.17,271,16.6,0.3905,0.4701,0,192,0.2537,67,11.36,1
51346.37,406,78292.63,182,4.0,0.3523,0.3385,0,238,0.9808,1961,19.32,1
28203.07,768,8513.46,115,1.3,0.1995,0.0419,0,264,0.3982,3340,16.75,1
117927.82,495,32180.54,36,26.0,0.3319,0.1245,0,205,0.7433,1584,10.83,1
109968.9,676,92809.49,277,8.0,0.0826,0.4245,0,93,0.5455,1316,3.98,1
58433.19,756,62249.05,230,5.0,0.4439,0.4471,0,181,0.6149,1782,8.96,0
143227.57,376,68762.47,219,10.9,0.8011,0.6794,0,74,0.8487,2778,23.66,1
28740.34,675,39404.31,302,1.0,0.1534,0.4499,0,228,0.7631,2351,4.99,1
60870.11,585,28713.11,70,0.8,0.186,0.5177,0,61,0.2618,1067,21.42,1
99544.03,802,24016.94,81,25.6,0.452,0.8987,0,45,0.8105,3464,29.61,1
112240.26,597,89676.51,92,21.4,0.9273,0.6377,0,261,0.2242,824,23.97,1
84222.85,669,57632.04,200,14.0,0.983,0.1298,0,34,0.3093,2937,21.85,0
119991.39,375,16906.04,174,19.3,0.45,0.6801,0,283,0.6398,746,23.27,1
85372.29,356,83982.13,277,4.6,0.1647,0.3227,0,178,0.9475,2126,26.95,1
52578.69,581,16891.18,167,18.4,0.0934,0.641,0,298,0.1542,2699,19.11,0
63890.55,342,83397.45,26,2.4,0.9485,0.771,1,108,0.767,1707,18.93,1
135569.59,596,65981.19,166,14.5,0.8047,0.685,0,38,0.6886,648,13.75,1
46522.99,447,34695.34,175,22.0,0.8608,0.9754,1,190,0.515,435,10.25,1
54771.32,553,18383.38,37,8.7,0.3841,0.6154,1,82,0.8135,2367,21.91,1
40714.51,827,49347.44,169,14.9,0.09,0.3932,0,124,0.2151,1446,2.41,0
97677.44,781,32146.1,16,25.4,0.4309,0.8825,0,207,0.3659,1641,2.48,0
67128.09,595,11985.52,270,13.5,0.5499,0.8253,0,61,0.1287,397,12.42,0
64081.09,674,76721.69,113,18.1,0.4014,0.0403,1,171,0.804,2128,14.25,1
87015.75,635,93480.03,175,4.9,0.9906,0.7393,0,173,0.5073,2088,16.44,0
58972.77,317,39993.99,356,3.3,0.4165,0.3077,0,14,0.5969,1088,29.05,0
120901.06,533,73533.01,310,14.4,0.5242,0.7212,0,195,0.1478,2789,8.02,0
111067.72,495,6799.05,172,12.6,0.413,0.2039,0,242,0.8728,3014,22.09,1
87428.82,632,99821.67,256,15.8,0.3138,0.1732,0,176,0.5463,2769,23.39,0
103630.18,570,62957.28,110,28.7,0.279,0.2985,0,153,0.7712,2888,7.01,0
61215.3,657,58246.32,152,8.6,0.5735,0.5432,0,203,0.8184,3167,24.33,1
57391.94,380,37904.53,238,19.7,0.7473,0.214,0,139,0.933,2852,8.88,1
116315.83,545,28033.51,354,27.2,0.2257,0.2328,1,170,0.7174,412,20.75,1
145387.44,461,43656.21,255,14.3,0.1995,0.9639,0,31,0.9079,367,19.92,1
116029.25,338,91756.82,101,12.5,0.8376,0.9339,1,204,0.788,764,28.16,0
140385.16,338,5880.38,302,18.1,0.9285,0.335,0,279,0.5243,3643,28.22,0
80842.7,497,81837.32,181,4.9,0.4589,0.2573,1,173,0.7908,2326,20.56,1
99424.08,715,83564.03,275,9.8,0.4008,0.0954,0,245,0.3236,1017,1.2,0
78075.62,573,95633.31,166,17.5,0.5729,0.2616,0,121,0.0621,485,14.5,1
109189.57,618,70577.59,339,27.5,0.295,0.6146,0,69,0.4782,1864,22.68,0
74059.93,782,76948.3,352,24.8,0.7619,0.6803,0,42,0.5255,2164,21.41,1
93341.93,363,83733.54,270,6.1,0.5367,0.1645,0,227,0.1162,842,21.79,0
136855.62,756,81825.75,244,4.0,0.4154,0.5639,0,158,0.7233,1622,8.38,1
48327.17,374,9302.53,188,21.0,0.5412,0.0603,0,242,0.0317,1675,6.22,1
103398.25,730,40573.79,207,13.5,0.9171,0.3775,1,277,0.133,3524,11.09,1
89843.6,841,17097.97,126,25.0,0.7562,0.9785,0,279,0.4241,1554,24.88,1
65000.77,582,22905.64,69,1.0,0.6602,0.6149,0,9,0.2407,276,3.93,1
97712.04,349,28249.74,34,12.1,0.2343,0.2173,0,29,0.1401,1185,7.79,0
94894.34,628,27505.88,85,29.6,0.5213,0.4136,0,286,0.9485,3604,22.32,1
108237.52,807,9453.99,188,28.2,0.6713,0.7858,0,214,0.4083,1229,11.92,0
81557.45,530,33569.96,85,24.2,0.9147,0.5624,0,286,0.53,1591,8.04,1
104071.76,760,85477.67,59,16.1,0.8294,0.0515,0,21,0.8736,771,24.33,1
107288.57,522,50542.45,182,9.1,0.909,0.2118,1,61,0.7469,3090,14.89,1
98572.2,509,42680.05,134,16.6,0.7755,0.3807,0,184,0.3084,1474,15.87,0
32819.07,780,77354.75,175,27.4,0.3707,0.4139,0,114,0.7413,67,8.56,0
95288.58,727,33043.27,112,9.9,0.3798,0.8334,0,173,0.2573,3366,15.17,0
116147.23,771,20982.2,192,5.1,0.7203,0.4883,0,278,0.9903,241,16.19,0
29662.95,349,77612.19,223,4.1,0.6307,0.068,1,112,0.5057,1529,2.75,0
141407.48,794,67632.01,20,0.2,0.5516,0.0119,0,141,0.5357,1175,1.5,0
107624.28,483,15166.56,61,15.7,0.241,0.6198,1,182,0.2673,1626,3.29,0
79669.71,549,99072.14,127,9.0,0.8281,0.0806,0,17,0.0935,1554,11.94,0
102777.25,475,12855.18,234,19.3,0.3313,0.9773,0,271,0.9192,942,7.13,0
135382.06,786,30754.03,50,20.5,0.2804,0.543,0,92,0.9288,1289,1.45,1
38744.9,707,93243.12,165,4.9,0.2405,0.8347,0,277,0.3317,3095,22.45,0
109610.37,380,52575.32,189,1.6,0.4371,0.8387,0,204,0.9689,1337,1.86,1
149036.16,802,26673.15,295,28.2,0.4318,0.6797,0,44,0.7722,1210,24.14,1
30664.94,457,41100.0,336,4.6,0.3896,0.3607,1,158,0.4447,3119,8.82,1
44360.93,759,57913.58,274,12.2,0.0263,0.3539,1,167,0.8637,51,9.46,1
31010.94,548,59336.24,98,20.6,0.1695,0.2689,1,75,0.0633,1781,9.0,0
121746.66,669,28911.48,138,21.6,0.4958,0.6167,0,70,0.3047,1621,10.63,0
124529.94,637,46821.18,232,24.5,0.8595,0.9742,1,165,0.6032,2848,6.82,1
145394.7,626,32687.57,336,14.7,0.5759,0.2424,0,202,0.365,2310,6.79,0
43390.54,327,95535.44,248,28.3,0.2096,0.7977,0,36,0.819,3260,24.06,1
38093.29,610,27992.01,349,4.6,0.4231,0.377,0,246,0.5822,2189,15.69,0
109922.15,337,80118.49,196,21.0,0.8123,0.5938,0,56,0.769,2694,20.28,1
99648.13,709,96847.06,181,29.0,0.4305,0.0105,0,262,0.7469,2286,17.84,1
77951.21,700,48991.0,359,17.7,0.5005,0.345,1,54,0.2954,352,4.37,0
38417.77,619,37591.33,117,15.6,0.3483,0.0976,0,232,0.3189,1230,2.3,0
22936.06,651,66557.14,358,24.0,0.9299,0.7405,0,283,0.1601,2294,13.36,0
123708.25,488,22706.76,348,13.0,0.0292,0.6141,1,220,0.3888,2887,7.23,1
111488.77,364,59848.05,286,5.6,0.326,0.4576,1,251,0.5277,2618,10.09,1
71030.72,416,38052.84,246,18.5,0.8137,0.706,1,44,0.6721,1283,4.42,1
43795.79,444,53528.36,226,17.9,0.5748,0.423,0,276,0.6934,2643,27.99,1
41692.52,595,18328.17,173,25.3,0.6194,0.8655,0,249,0.1365,3340,12.13,0
104899.07,718,70046.18,224,21.3,0.4439,0.1673,0,113,0.2921,1126,7.52,1
121496.23,807,57223.99,69,17.2,0.2679,0.5431,0,278,0.8226,171,23.04,1
48410.45,735,14729.56,346,22.5,0.2977,0.9993,0,179,0.8622,357,13.73,0
120832.11,542,24938.43,313,20.7,0.861,0.6103,0,72,0.7848,3333,7.0,1
65606.01,587,61701.48,98,9.7,0.7041,0.2893,0,264,0.9855,2783,24.64,1
117512.24,721,92283.03,153,26.0,0.1269,0.8661,0,165,0.8285,3119,25.46,1
38482.31,575,64642.22,204,13.6,0.6336,0.8801,1,264,0.7498,2846,28.15,1
143533.03,635,60285.78,59,21.9,0.4584,0.6641,0,33,0.7957,1630,7.32,1
47540.69,574,35672.19,157,10.1,0.5779,0.5661,0,176,0.8942,3123,2.4,1
121905.67,770,6546.73,92,13.2,0.0007,0.958,0,68,0.8821,1237,5.61,0
55622.53,669,28786.98,202,19.9,0.6489,0.0518,0,120,0.4292,374,21.41,1
81984.87,435,61399.55,277,20.4,0.0093,0.6956,0,217,0.694,1957,3.05,1
114999.24,404,14804.15,200,26.4,0.1371,0.7735,0,69,0.6416,2774,5.14,0
21101.72,468,46809.44,121,18.8,0.1514,0.4117,0,112,0.0867,412,5.06,1
114901.19,659,96508.63,173,23.7,0.2478,0.6446,0,146,0.779,2829,1.78,0
133857.53,510,54186.17,272,5.7,0.3918,0.6462,0,123,0.4949,462,7.99,0
29231.56,312,98753.84,174,4.0,0.8608,0.5684,1,89,0.7627,3156,3.12,0
21793.15,520,8783.55,42,28.5,0.398,0.2865,0,213,0.4236,1648,3.39,0
100086.12,584,12941.72,52,15.3,0.2032,0.8081,0,201,0.5864,3127,25.2,0
28594.96,747,74346.05,134,1.7,0.0862,0.4345,0,29,0.3093,3038,20.08,1
21646.45,440,71642.46,95,14.9,0.3467,0.5172,0,133,0.167,520,22.74,0
115281.66,420,78285.88,27,10.1,0.4293,0.5239,1,296,0.6275,2033,14.2,1
84949.3,470,39930.34,142,23.2,0.8943,0.6741,1,261,0.0026,3518,26.02,1
81329.4,692,92421.52,103,27.9,0.8575,0.5529,0,215,0.2245,1017,13.07,0
55263.53,379,59295.92,73,15.1,0.9019,0.1793,0,24,0.9541,283,26.43,0
120558.57,618,36093.59,295,13.7,0.3689,0.2916,0,125,0.4639,2424,29.18,0
120865.17,551,19303.81,221,0.7,0.5415,0.6359,0,5,0.951,6,23.01,1
115950.75,614,14875.16,283,29.5,0.4198,0.9612,0,73,0.7117,382,2.27,1
129915.55,722,71580.46,202,13.8,0.7479,0.5808,0,202,0.0748,2326,2.81,0
36992.08,598,29794.14,173,27.8,0.393,0.8319,0,232,0.272,306,28.36,1
120119.06,411,19764.0,96,13.5,0.314,0.1207,0,107,0.4519,1898,8.69,1
40490.0,611,83506.74,320,1.2,0.8359,0.3278,1,128,0.9684,1624,15.89,1
53821.68,478,7952.8,219,25.6,0.556,0.5501,1,53,0.8039,573,4.52,1
121524.8,527,17417.95,217,11.2,0.6303,0.6447,0,133,0.9174,308,1.63,1
137324.49,754,81883.37,59,27.2,0.8294,0.3315,1,237,0.0506,2351,13.56,0
84496.43,691,69905.23,100,10.6,0.9083,0.275,0,77,0.0346,2537,18.89,0
84855.91,790,10793.01,155,11.5,0.4192,0.6427,0,128,0.6308,3286,16.77,1
69724.75,667,50570.02,260,10.3,0.5657,0.3216,0,14,0.3189,898,1.85,0
56521.25,783,55296.07,311,30.0,0.974,0.1001,0,137,0.5337,3241,27.6,1
149530.97,524,59690.75,210,10.6,0.8392,0.8452,1,163,0.8062,2858,11.4,1
111448.87,660,95018.08,300,4.3,0.9484,0.8367,0,253,0.5421,720,15.22,1
50241.04,524,6893.16,256,0.0,0.9179,0.2015,1,91,0.9188,3459,26.18,1
39202.56,445,78564.82,281,25.8,0.9606,0.3736,0,203,0.586,1379,9.75,1
40475.51,747,80225.04,261,19.5,0.1742,0.9687,0,183,0.2232,2413,24.62,1
115419.35,601,17098.09,12,28.5,0.9487,0.3916,0,291,0.0324,2468,10.23,0
99479.55,406,93985.34,84,9.9,0.0778,0.3468,1,46,0.8217,2745,19.53,0
78061.89,571,24920.01,46,10.5,0.787,0.7204,1,225,0.7326,682,26.65,1
69232.63,684,14635.71,257,23.7,0.5781,0.7582,0,232,0.0737,3465,1.97,1
53946.6,407,12049.04,99,26.6,0.1609,0.075,0,48,0.338,2514,26.9,0
76072.03,468,62695.17,234,4.7,0.1013,0.2056,1,284,0.722,2990,16.66,0
58662.08,398,9715.37,304,16.5,0.4909,0.0545,1,45,0.2945,2712,19.13,0
32608.3,511,21229.06,161,29.3,0.4736,0.1155,0,242,0.4891,2708,8.69,0
70378.53,679,89121.81,201,5.6,0.0446,0.4397,0,138,0.5642,620,22.81,0
31141.95,652,81777.11,223,29.1,0.5897,0.5536,0,268,0.4186,2194,20.92,0
94452.86,541,50244.92,52,11.8,0.8539,0.0347,0,265,0.8005,2776,29.5,1
143403.13,759,21423.5,97,29.2,0.8085,0.1262,0,223,0.2019,3370,19.19,0
53525.23,368,13267.61,296,11.9,0.3261,0.2762,0,7,0.7866,2553,18.04,0
34627.45,453,19078.98,313,17.5,0.9648,0.1002,1,52,0.7857,3554,16.53,1
73415.7,692,67204.83,304,18.3,0.0375,0.2754,1,206,0.0388,3644,26.49,0
26407.83,786,92479.32,202,0.6,0.8174,0.3031,0,252,0.8582,2806,3.85,0
37470.12,753,78532.94,176,8.1,0.4168,0.6456,1,109,0.9134,1668,22.49,1
132734.57,357,53950.62,93,2.0,0.7096,0.4034,0,269,0.8793,119,6.04,0
46094.48,359,28701.57,245,1.5,0.3604,0.1991,1,238,0.5051,2603,27.77,0
51451.95,800,61434.14,102,28.8,0.4746,0.5513,0,133,0.749,2822,3.62,1
26454.64,519,86425.56,343,6.8,0.2067,0.6516,0,5,0.4741,542,19.77,0
21100.28,558,62792.67,168,21.4,0.7094,0.2754,0,179,0.459,894,14.53,0
127160.41,706,60526.28,15,15.3,0.6624,0.8433,0,145,0.2985,443,14.97,1
55942.82,632,86841.7,145,19.7,0.9522,0.6515,1,265,0.7655,233,24.36,0
98004.33,627,69671.8,25,19.7,0.9975,0.2594,0,199,0.7367,2389,21.53,1
44688.97,527,70200.22,338,23.5,0.9065,0.6719,0,88,0.8406,3591,17.19,1
81201.51,564,73892.73,298,22.9,0.1831,0.6797,0,46,0.2223,915,22.58,1
122451.76,639,40309.83,311,8.8,0.8512,0.4705,0,299,0.5803,2543,3.07,0
85062.06,690,55334.66,223,1.6,0.8542,0.1374,0,210,0.9872,1875,5.15,0
43446.38,382,51320.18,335,29.6,0.3134,0.058,0,108,0.7612,691,17.71,1
122077.42,390,17293.57,234,19.0,0.4034,0.9653,0,20,0.5338,2993,11.82,1
61887.71,843,23104.79,358,0.1,0.7336,0.2263,0,160,0.1289,1572,15.6,0
28487.31,346,33329.21,160,13.7,0.5203,0.5241,1,69,0.3427,2008,11.42,1
143250.97,713,6816.85,126,21.8,0.1312,0.7341,0,87,0.1232,2913,19.87,1
133950.74,561,78268.72,331,1.5,0.9947,0.662,0,11,0.0482,475,13.09,0
91146.71,785,71677.48,117,20.9,0.6303,0.3011,0,267,0.27,2481,21.32,0
136820.85,823,73282.79,72,8.5,0.7848,0.4977,0,135,0.8315,827,11.38,1
40848.57,808,91483.88,258,9.9,0.0027,0.6716,0,294,0.669,611,28.53,0
29756.27,403,90954.04,341,6.9,0.9887,0.296,0,52,0.8132,3581,2.14,1
124207.49,620,45469.54,71,2.8,0.7582,0.0459,0,88,0.3287,1793,28.7,1
115298.83,681,82421.61,105,3.4,0.4003,0.4565,0,245,0.7999,2658,26.7,1
37226.5,360,98249.07,93,3.1,0.9112,0.4827,0,225,0.1813,1556,23.6,0
132134.85,433,50892.57,261,3.4,0.4113,0.046,1,161,0.0124,3557,20.66,0
94964.37,529,97900.08,354,26.2,0.5191,0.6882,0,222,0.6617,1019,14.98,0
103382.58,452,84708.14,297,26.8,0.6129,0.0116,0,259,0.8488,3490,15.38,1
117685.9,628,27884.72,154,1.5,0.2227,0.6433,0,121,0.0788,1820,24.24,0
131356.6,757,35025.85,266,22.4,0.0178,0.4034,1,282,0.0002,373,23.96,0
102879.96,820,58421.59,347,20.1,0.9504,0.3633,1,115,0.8443,1360,17.24,1
81507.38,672,73011.78,70,2.9,0.6589,0.0022,0,150,0.5477,1532,21.36,1
41340.2,443,83074.67,221,3.2,0.6109,0.1875,0,202,0.2156,3378,23.66,0
34009.55,724,9417.53,336,25.1,0.5888,0.7721,0,259,0.1346,2044,1.13,0
91919.42,743,84687.53,259,27.7,0.7811,0.9102,0,89,0.7305,526,4.0,0
98800.9,629,52890.46,208,12.6,0.609,0.6925,0,204,0.9636,1205,14.13,1
73656.91,824,33396.75,292,25.8,0.7119,0.9355,0,103,0.2097,2927,9.43,0
107408.58,482,52869.88,338,9.7,0.1154,0.3522,0,293,0.9427,2909,13.11,1
129380.61,592,88360.34,228,24.2,0.5227,0.0253,1,29,0.1999,3073,23.78,0
108840.74,449,84741.27,163,6.1,0.5412,0.3587,0,288,0.8648,3041,19.77,1
86419.9,594,70828.93,36,27.8,0.3876,0.9567,0,161,0.9658,221,1.38,1
100673.02,753,83848.43,336,21.1,0.6476,0.7551,0,101,0.7761,793,9.53,1
108745.65,491,96435.15,275,3.6,0.0406,0.2791,1,83,0.584,1045,1.16,0
141874.28,340,19601.82,177,17.9,0.7737,0.6254,0,155,0.4906,2346,16.95,1
